Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P FGA,0-3 FGA,3-10 FGA,10-16 FGA,16-3P FGA,3P FGA,2P FG,0-3 FG,3-10 FG,10-16 FG,16-3P,3P FG,2P Assist,3P Assist ,%FGA Dunks,Total Dunks,%3PA Corner,3P% Corner
1,Mikal Bridges,28,NYK,SF,82,82,3036,0.5,14.7,0.609,0.185,0.189,0.192,0.042,0.391,0.594,0.785,0.513,0.507,0.52,0.354,0.682,0.957,0.025,28,0.449,0.423
2,Josh Hart,29,NYK,SG,77,77,2897,0.525,11.3,0.673,0.408,0.162,0.066,0.036,0.327,0.618,0.732,0.44,0.412,0.5,0.333,0.613,0.869,0.03,21,0.258,0.308
3,Anthony Edwards,23,MIN,SG,79,79,2871,0.447,16.9,0.497,0.176,0.158,0.084,0.08,0.503,0.501,0.678,0.453,0.341,0.372,0.395,0.384,0.475,0.039,54,0.107,0.414
4,Devin Booker,28,PHO,SG,75,75,2795,0.461,16.2,0.612,0.109,0.175,0.206,0.123,0.388,0.542,0.69,0.492,0.531,0.5,0.332,0.431,0.716,0.013,14,0.123,0.338
5,James Harden,35,LAC,PG,79,79,2789,0.41,17.3,0.484,0.106,0.232,0.122,0.024,0.516,0.472,0.657,0.422,0.405,0.484,0.352,0.176,0.37,0.003,4,0.042,0.429
6,DeMar DeRozan,35,SAC,SF,77,77,2768,0.477,15.3,0.804,0.065,0.171,0.299,0.269,0.196,0.513,0.706,0.549,0.509,0.449,0.328,0.363,0.881,0.006,7,0.309,0.38
7,Trae Young,26,ATL,PG,76,76,2739,0.411,17.3,0.533,0.124,0.219,0.134,0.057,0.467,0.474,0.544,0.468,0.467,0.359,0.34,0.287,0.294,0.001,0,0.078,0.44
8,Tyler Herro,25,MIA,SG,77,77,2725,0.472,16.7,0.514,0.137,0.213,0.126,0.038,0.486,0.565,0.698,0.515,0.529,0.481,0.375,0.378,0.753,0.008,10,0.118,0.456
9,OG Anunoby,27,NYK,PF,74,74,2706,0.476,13.5,0.552,0.338,0.123,0.055,0.037,0.448,0.561,0.706,0.349,0.321,0.289,0.372,0.717,0.93,0.14,132,0.45,0.377
10,Jalen Green,22,HOU,SG,82,82,2697,0.423,16.3,0.54,0.191,0.175,0.058,0.116,0.46,0.482,0.664,0.418,0.298,0.371,0.354,0.262,0.538,0.046,54,0.107,0.366
11,Christian Braun,23,DEN,SG,79,77,2675,0.58,9.9,0.727,0.418,0.245,0.027,0.038,0.273,0.648,0.758,0.522,0.409,0.419,0.397,0.762,0.888,0.124,94,0.317,0.352
12,Bam Adebayo,27,MIA,C,78,78,2674,0.485,11.4,0.801,0.213,0.285,0.247,0.057,0.199,0.517,0.705,0.461,0.436,0.444,0.357,0.605,0.886,0.123,125,0.29,0.453
13,Ivica Zubac,27,LAC,C,80,80,2624,0.628,4.4,1,0.426,0.499,0.072,0.003,0,0.628,0.706,0.585,0.485,0.333,,0.703,,0.203,177,,
14,Jayson Tatum,26,BOS,PF,72,72,2624,0.452,17.1,0.503,0.182,0.149,0.089,0.083,0.497,0.559,0.782,0.479,0.359,0.43,0.343,0.35,0.46,0.059,79,0.059,0.419
15,Jaden McDaniels,24,MIN,PF,82,82,2614,0.477,12.8,0.637,0.253,0.23,0.121,0.032,0.363,0.561,0.73,0.427,0.535,0.296,0.33,0.611,0.95,0.074,51,0.512,0.335
16,Keegan Murray,24,SAC,PF,76,76,2610,0.444,17.2,0.452,0.144,0.195,0.078,0.035,0.548,0.566,0.831,0.469,0.359,0.483,0.343,0.652,0.987,0.087,66,0.29,0.385
17,Zach LaVine,29,2TM,SF,74,74,2602,0.511,15.9,0.562,0.242,0.131,0.07,0.119,0.438,0.562,0.723,0.488,0.442,0.386,0.446,0.495,0.544,0.06,68,0.17,0.473
17,Zach LaVine,29,CHI,SF,42,42,1432,0.511,15.5,0.57,0.299,0.072,0.073,0.127,0.43,0.56,0.708,0.392,0.385,0.411,0.446,0.471,0.515,0.068,45,0.164,0.44
17,Zach LaVine,29,SAC,SG,32,32,1170,0.511,16.3,0.55,0.164,0.212,0.066,0.107,0.45,0.564,0.762,0.532,0.529,0.345,0.446,0.528,0.583,0.049,23,0.177,0.512
18,Shai Gilgeous-Alexander,26,OKC,PG,76,76,2598,0.519,12.9,0.737,0.206,0.231,0.222,0.079,0.263,0.571,0.742,0.492,0.548,0.42,0.375,0.212,0.35,0.028,46,0.034,0.333
19,Michael Porter Jr.,26,DEN,SF,77,77,2593,0.504,15.9,0.533,0.228,0.156,0.053,0.095,0.467,0.599,0.762,0.53,0.536,0.36,0.395,0.74,0.922,0.096,88,0.125,0.508
20,Derrick White,30,BOS,SG,76,76,2574,0.442,20.7,0.279,0.084,0.121,0.05,0.024,0.721,0.593,0.716,0.586,0.563,0.261,0.384,0.465,0.808,0.009,8,0.171,0.432
21,Dyson Daniels,21,ATL,SG,76,76,2571,0.493,10.4,0.745,0.284,0.377,0.078,0.007,0.255,0.545,0.676,0.486,0.389,0.167,0.34,0.517,0.938,0.054,45,0.217,0.431
22,Nikola Jokić,29,DEN,C,70,70,2571,0.576,11.5,0.757,0.235,0.403,0.078,0.042,0.243,0.627,0.725,0.605,0.491,0.544,0.417,0.653,0.862,0.019,25,0.045,0.533
