Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
540,Jahmir Young,24,CHI,PG,6,0,30,0.8,1,0.5,0.9,1,0.935,0.4,0.4,171,183,139,166,128,162,165,95,3.6,4.2
541,Kevin McCullar Jr.,23,NYK,SF,4,0,29,0.286,0.333,0,0.286,1,0.381,0.286,0.143,61,61,0,53,128,66,118,34,-3.6,-3.1
542,Trentyn Flowers,19,LAC,SF,6,0,27,0.364,0.444,0,0.364,1,0.446,0.273,0.182,78,82,0,67,128,77,112,43,-3.9,-3.2
543,Emanuel Miller,24,CHI,PF,6,0,25,0.5,0.571,0,0.5,1,0.563,0.25,0.125,107,105,0,92,128,98,103,30,-0.7,-0.2
544,Daniss Jenkins,23,DET,PG,7,0,23,0.3,0.667,0.143,0.35,0,0.322,0.2,0.7,64,122,40,64,0,56,82,166,-3.9,-5.5
545,Anton Watson,24,NYK,SF,9,0,22,0.444,0.5,0,0.444,,0.444,0,0.111,95,92,0,82,,77,0,26,-1.8,-2.4
546,Tolu Smith,24,DET,PF,1,0,22,0.667,0.667,,0.667,0.667,0.678,0.333,0,143,122,,123,85,118,137,0,2.2,2.1
547,Malevy Leons,25,OKC,SF,6,0,21,0,0,0,0,0.5,0.266,2,0.5,0,0,0,0,64,46,824,119,-2.2,-2.3
548,Adama Sanogo,22,CHI,C,4,0,21,0.571,0.571,,0.571,,0.571,0,0,122,105,,105,,99,0,0,0.4,-0.1
549,Taze Moore,26,POR,SG,2,0,20,0.2,0.167,0.25,0.25,0.5,0.276,0.2,0.4,43,31,69,46,64,48,82,95,-5.9,-6.5
550,Ron Harper Jr.,24,DET,SF,1,0,17,0.125,0.5,0,0.125,1,0.225,0.25,0.75,27,92,0,23,128,39,103,178,-6.7,-6.2
551,Isaiah Mobley,25,PHI,PF,1,0,17,0.286,0.25,0.333,0.357,0.5,0.381,0.286,0.429,61,46,93,66,64,66,118,102,-2.6,-3.1
552,Yuri Collins,23,GSW,PG,2,0,16,0.333,0.333,,0.333,,0.333,0,0,71,61,,61,,58,0,0,-1.3,-1.5
553,Tristen Newton,23,2TM,SG,8,0,16,0.125,0.2,0,0.125,1,0.178,0.125,0.375,27,37,0,23,128,31,51,89,-6.7,-6.7
553,Tristen Newton,23,IND,SG,5,0,8,0.167,0.333,0,0.167,1,0.233,0.167,0.5,36,61,0,31,128,40,69,119,-4.5,-4.4
553,Tristen Newton,23,MIN,SG,3,0,8,0,0,,0,,0,0,0,0,0,,0,,0,0,0,-2.2,-2.3
554,Daishen Nix,22,MIN,PG,3,0,13,0,,0,0,0.5,0.266,2,1,0,,0,0,64,46,824,237,-1.1,-1.2
555,Skal Labissière,28,SAC,PF,4,0,12,0.5,0.333,1,0.625,,0.625,0,0.25,107,61,278,115,,108,0,59,0.7,0.4
556,Braxton Key,27,GSW,SF,3,0,11,0,0,0,0,0.5,0.226,1.5,0.25,0,0,0,0,64,39,618,59,-4.3,-4.7
